state,county,latitude,longitude
WV,Webster,38.522709,-80.607651
WV,Randolph,38.89487,-79.850148
WV,Barbour,39.125078,-80.017982
WV,Tucker,39.130056,-79.468329
WV,Harrison,39.287434,-80.341883
WV,Lewis,39.09078,-80.470734
WV,Doddridge,39.270846,-80.719742
WV,Braxton,38.777546,-80.656974
WV,Taylor,39.345364,-80.04977
WV,Preston,39.48274,-79.836968
WV,Monongalia,39.609911,-79.983141
WV,Marion,39.494115,-80.221282
WV,Grant,38.986974,-79.146211
WV,Mineral,39.443055,-78.964749
WV,Hardy,38.999518,-78.821226
WV,Pendleton,38.684692,-79.353564
NC,Davie,35.945381,-80.448686
NC,Surry,36.385903,-80.589507
NC,Forsyth,36.213266,-80.084667
NC,Yadkin,36.21397,-80.690386
NC,Rowan,35.755719,-80.681056
NC,Stokes,36.446831,-80.220095
NC,Rockingham,36.348831,-79.894851
NC,Alamance,36.031836,-79.485643
NC,Randolph,35.708376,-79.85213
NC,Chatham,35.608354,-79.372362
NC,Montgomery,35.365836,-79.943839
NC,Caswell,36.466412,-79.275549
NC,Guilford,36.193624,-79.674079
NC,Orange,36.181138,-79.164741
NC,Lee,35.467567,-79.165314
NC,Davidson,35.608108,-80.144554
NC,Moore,35.326471,-79.548614
NC,Person,36.493537,-79.060407
NC,Harnett,35.478164,-78.729411
NC,Wake,35.748012,-78.834012
NC,Durham,36.09206,-78.885147
NC,Johnston,35.40709,-78.402967
NC,Granville,36.451463,-78.566691
NC,Franklin,35.982555,-78.208581
NC,Wayne,35.368277,-78.092871
NC,Vance,36.38698,-78.396213
NC,Warren,36.507009,-77.997521
NC,Edgecombe,35.949051,-77.641181
NC,Nash,35.902088,-77.874947
NC,Bertie,36.169398,-77.097225
NC,Beaufort,35.373666,-76.861978
NC,Pitt,35.584685,-77.513357
NC,Wilson,35.616471,-77.935161
NC,Hertford,36.491011,-77.031055
NC,Northampton,36.450554,-77.452452
NC,Halifax,36.279884,-77.723443
NC,Hyde,35.325223,-76.028472
NC,Martin,35.866711,-77.084958
NC,Greene,35.609289,-77.713073
NC,Pasquotank,36.285388,-76.213284
NC,Dare,35.776474,-75.635823
NC,Currituck,36.307995,-75.918814
NC,Perquimans,36.257499,-76.544379
NC,Camden,36.389961,-76.199736
NC,Tyrrell,35.936934,-76.203339
NC,Gates,36.520104,-76.59285
NC,Washington,35.829692,-76.567703
NC,Chowan,36.135621,-76.580107
NC,Stanly,35.319817,-80.253448
NC,Gaston,35.365255,-81.087967
NC,Anson,35.021874,-80.085232
NC,Iredell,35.719228,-80.89909
